sep=,
media_type,stream_index,key_frame,pkt_pts,pkt_pts_time,pkt_dts,pkt_dts_time,best_effort_timestamp,best_effort_timestamp_time,pkt_duration,pkt_duration_time,pkt_pos,pkt_size,width,height,pix_fmt,sample_aspect_ratio,pict_type,coded_picture_number,display_picture_number,interlaced_frame,top_field_first,repeat_pict,color_range,color_space,color_primaries,color_transfer,chroma_location
video,0,0,106106,3.536867,106106,3.536867,106106,3.536867,1001,0.033367,158201,3896,640,360,yuv420p,N/A,P,103,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,107107,3.570233,107107,3.570233,107107,3.570233,1001,0.033367,165807,335,640,360,yuv420p,N/A,B,108,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,108108,3.603600,108108,3.603600,108108,3.603600,1001,0.033367,166142,235,640,360,yuv420p,N/A,B,109,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,109109,3.636967,109109,3.636967,109109,3.636967,1001,0.033367,163060,2747,640,360,yuv420p,N/A,P,107,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,110110,3.670333,110110,3.670333,110110,3.670333,1001,0.033367,170963,315,640,360,yuv420p,N/A,B,112,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,111111,3.703700,111111,3.703700,111111,3.703700,1001,0.033367,170373,590,640,360,yuv420p,N/A,B,111,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,112112,3.737067,112112,3.737067,112112,3.737067,1001,0.033367,171278,251,640,360,yuv420p,N/A,B,113,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,113113,3.770433,113113,3.770433,113113,3.770433,1001,0.033367,166377,3996,640,360,yuv420p,N/A,P,110,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,114114,3.803800,114114,3.803800,114114,3.803800,1001,0.033367,175985,320,640,360,yuv420p,N/A,B,116,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,115115,3.837167,115115,3.837167,115115,3.837167,1001,0.033367,175519,466,640,360,yuv420p,N/A,B,115,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,116116,3.870533,116116,3.870533,116116,3.870533,1001,0.033367,176305,237,640,360,yuv420p,N/A,B,117,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,117117,3.903900,117117,3.903900,117117,3.903900,1001,0.033367,171529,3990,640,360,yuv420p,N/A,P,114,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,118118,3.937267,118118,3.937267,118118,3.937267,1001,0.033367,179794,325,640,360,yuv420p,N/A,B,119,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,119119,3.970633,119119,3.970633,119119,3.970633,1001,0.033367,180119,216,640,360,yuv420p,N/A,B,120,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,120120,4.004000,120120,4.004000,120120,4.004000,1001,0.033367,176542,3252,640,360,yuv420p,N/A,P,118,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,121121,4.037367,121121,4.037367,121121,4.037367,1001,0.033367,185333,266,640,360,yuv420p,N/A,B,123,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,122122,4.070733,122122,4.070733,122122,4.070733,1001,0.033367,184910,423,640,360,yuv420p,N/A,B,122,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,123123,4.104100,123123,4.104100,123123,4.104100,1001,0.033367,185599,254,640,360,yuv420p,N/A,B,124,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,124124,4.137467,124124,4.137467,124124,4.137467,1001,0.033367,180335,4575,640,360,yuv420p,N/A,P,121,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,125125,4.170833,125125,4.170833,125125,4.170833,1001,0.033367,189941,297,640,360,yuv420p,N/A,B,127,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,126126,4.204200,126126,4.204200,126126,4.204200,1001,0.033367,189506,435,640,360,yuv420p,N/A,B,126,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,127127,4.237567,127127,4.237567,127127,4.237567,1001,0.033367,190238,246,640,360,yuv420p,N/A,B,128,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,128128,4.270933,128128,4.270933,128128,4.270933,1001,0.033367,185853,3653,640,360,yuv420p,N/A,P,125,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,129129,4.304300,129129,4.304300,129129,4.304300,1001,0.033367,195144,318,640,360,yuv420p,N/A,B,131,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,130130,4.337667,130130,4.337667,130130,4.337667,1001,0.033367,194656,488,640,360,yuv420p,N/A,B,130,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,131131,4.371033,131131,4.371033,131131,4.371033,1001,0.033367,195462,272,640,360,yuv420p,N/A,B,132,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,132132,4.404400,132132,4.404400,132132,4.404400,1001,0.033367,190484,4172,640,360,yuv420p,N/A,P,129,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,133133,4.437767,133133,4.437767,133133,4.437767,1001,0.033367,199968,409,640,360,yuv420p,N/A,B,135,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,134134,4.471133,134134,4.471133,134134,4.471133,1001,0.033367,199421,547,640,360,yuv420p,N/A,B,134,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,135135,4.504500,135135,4.504500,135135,4.504500,1001,0.033367,200377,294,640,360,yuv420p,N/A,B,136,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,136136,4.537867,136136,4.537867,136136,4.537867,1001,0.033367,195734,3687,640,360,yuv420p,N/A,P,133,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,137137,4.571233,137137,4.571233,137137,4.571233,1001,0.033367,204809,371,640,360,yuv420p,N/A,B,139,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,138138,4.604600,138138,4.604600,138138,4.604600,1001,0.033367,204299,510,640,360,yuv420p,N/A,B,138,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,139139,4.637967,139139,4.637967,139139,4.637967,1001,0.033367,205180,276,640,360,yuv420p,N/A,B,140,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,140140,4.671333,140140,4.671333,140140,4.671333,1001,0.033367,200671,3628,640,360,yuv420p,N/A,P,137,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,141141,4.704700,141141,4.704700,141141,4.704700,1001,0.033367,208439,398,640,360,yuv420p,N/A,B,142,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,142142,4.738067,142142,4.738067,142142,4.738067,1001,0.033367,208837,327,640,360,yuv420p,N/A,B,143,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,143143,4.771433,143143,4.771433,143143,4.771433,1001,0.033367,205456,2983,640,360,yuv420p,N/A,P,141,0,0,0,0,unknown,unknown,unknown,unknown,left
